Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
Unclassified;Other;Other;Other;Other	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	3.08E-05	0	3.57E-05	0	0
k__Archaea;Other;Other;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	0.0006531	0	3.86E-05	0	6.24E-05	0.000784593	0.001212611	0	0	2.81E-05	0.000115498	0.000955397	4.33E-05	0	0.000394094	0.000151076	0.000177506	0.000360263	0.000915704	0	0.000161842	0	0.000432843	0.000267666
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other	0	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000315275	0	0	0	0	0	0.000445065	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.013140364	0.001239723	0.017542507	0.009565784	0.000852391	0.004350927	0.007650999	0.002051717	0.001816201	0.012634771	0.021328611	0.004449419	0.007315701	0.005661994	0.003047659	0.007276848	0.004082629	0.005584076	0.004273287	0.020886602	0.00732334	0.002710075	0.010088566	0.00629015
k__Archaea;p__Euryarchaeota;Other;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;Other;Other	0	0	0	0	0	0	5.77E-05	0	0.00036324	0	0	0	0.000129865	0	0.000341548	0	6.66E-05	0	2.54E-05	0	0	1.78E-05	6.66E-05	6.69E-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;Other	2.61E-05	0	0	0	4.16E-05	0	0.000115487	0	0.00072648	0	0	0	0	0	0.000367821	0	0.000155317	9.01E-05	2.54E-05	0	8.09E-05	0.000392248	0.000233069	0.000401499
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142636	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles];f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__	0	0	3.86E-05	0	0	0	0.00017323	0.001096608	0.00072648	0	0	0	0	0	0.000656823	0	8.88E-05	0	0	0	8.09E-05	1.78E-05	6.66E-05	0.002275161
k__Bacteria;Other;Other;Other;Other	0.013453852	0.018073861	0.006284458	0.03818801	0.011060291	0.016726106	0.015994919	0.018005589	0.003632401	0.010304358	0.020654873	0.011492057	0.012510281	0.022739793	0.003993484	0.010248017	0.015110164	0.015941637	0.023146971	0.020670959	0.007687484	0.008415497	0.006226277	0.015323876
k__Bacteria;p__;c__;o__;f__	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3;Other;Other;Other	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	2.54E-05	0	2.02E-05	0	3.33E-05	0
k__Bacteria;p__AD3;c__;o__;f__	2.61E-05	8.70E-05	0	2.50E-05	0	0	0	0	0	0	1.92E-05	2.73E-05	0.000389594	0	5.25E-05	2.52E-05	0.000155317	0	5.09E-05	0	8.09E-05	0.000106977	0	6.69E-05
k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.009274014	0.005763626	0.000578324	0.003255371	0.000873181	0.005527817	0.008488278	0.003537444	0.00108972	0.002246181	0.004138674	0.012229077	0.018354184	0.006488339	0.005832589	0.00548911	0.013823249	0.002431775	0.007325635	0.000338868	0.011207542	0.004938756	0.004395019	0.004416488
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	0.005851773	0.002609944	0.000539769	0.016702559	0.000852391	0.00353067	0.009354429	0.007534755	0.00036324	0.005783917	0.008007854	0.005923459	0.006276785	0.011232172	0.001865378	0.003046708	0.016618962	0.006034405	0.01208221	0.002310465	0.006878275	0.002941858	0.003063195	0.006223233
k__Bacteria;p__Acidobacteria;Other;Other;Other	5.22E-05	6.52E-05	0	2.50E-05	0	0	0	7.07E-05	0	0	0	2.73E-05	4.33E-05	0	0.000105092	2.52E-05	8.88E-05	0	5.09E-05	0	2.02E-05	1.78E-05	0	6.69E-05
k__Bacteria;p__Acidobacteria;c__;o__;f__	0	0	7.71E-05	0	0	0	0	0	0.00072648	0	0	0	0.000129865	0	0.000893279	0	0	0	0	0	0.000141612	0.000124806	0.000133182	0
k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000315275	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	2.61E-05	0	0.000424105	2.50E-05	4.16E-05	0.00010699	0.000288717	3.54E-05	0.00072648	5.62E-05	7.70E-05	5.46E-05	8.66E-05	0.000122421	0.000656823	0.000100718	0.000221882	9.01E-05	7.63E-05	0	0.00093059	0.000124806	0.000998868	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other	0	0	3.86E-05	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	2.52E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__	0	0	1.93E-05	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	0.000104496	0.000326243	0	2.50E-05	8.32E-05	3.57E-05	2.89E-05	0	0.00072648	0.000112309	0	2.73E-05	0.001212069	0	0.001760286	5.04E-05	0.000931904	0.000270197	0.000127181	6.16E-05	0.00095082	0.000570542	0.000665912	0.000334582
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;Other	0	2.17E-05	0	2.50E-05	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02E-05	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	0.005642781	0.005915873	0.023595636	0.002353884	0.006943867	0.003281027	0.007420025	0.003431321	0.018162005	0.005418913	0.004042426	0.008380193	0.011471365	0.00244843	0.01896905	0.010650888	0.012270075	0.007295326	0.00681691	0.000123225	0.020108839	0.007809296	0.017879736	0.008899893
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40	0.000104496	0.000130497	0.001542198	2.50E-05	2.08E-05	0	0.00017323	0.000424493	0.001816201	2.81E-05	0	0.000354862	0.000303017	0	0.000972098	0.000654664	0.000177506	9.01E-05	0	3.08E-05	0.001234043	0.000677519	0.001065459	0.000334582
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424	0	0	0.00198558	0	0	0	0	0	0.00072648	5.62E-05	0	0	0	0	0.000420367	7.55E-05	0	0	0	0	0	0	0.000865686	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;Other	5.22E-05	2.17E-05	0	2.50E-05	2.08E-05	0	0.000115487	0	0	0	1.92E-05	8.19E-05	8.66E-05	0.000122421	2.63E-05	0	4.44E-05	0	0.000101745	0.000123225	4.05E-05	3.57E-05	0	0.000267666
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	0.001410695	0.023902736	0.001715696	0.009014875	0.035031185	0.017332382	0.003897679	0.009197354	0.003995641	0.001347709	0.006698878	0.033138614	0.006276785	0.002509641	0.00044664	0.007251668	0.004859216	0.032333604	0.008928117	0.018175657	0.003985353	0.009503093	0.000998868	0.02114561
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.013715092	0.023685241	0.006245904	0.021235038	0.003700624	0.02157632	0.043942719	0.01418515	0.017435525	0.012719003	0.028239235	0.050963586	0.031773516	0.034400441	0.020361515	0.023064333	0.042401651	0.053679186	0.050745282	0.007177844	0.039448929	0.025460445	0.014716654	0.038811563
k__Bacteria;p__Acidobacteria;c__BPC102;o__;f__	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0.00047617	0	0	0	0.000155317	9.01E-05	0	0	2.02E-05	0.00096279	0	0.000200749
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__	0	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0	0	0	0	0	0	0	8.91E-05	0	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	0.002429531	0.001913959	0.001908471	0.003180247	0.000893971	0.004386591	0.013107749	0.002794581	0.010533963	0.001965409	0.00494716	0.018370912	0.002900307	0.003611434	0.00493931	0.00548911	0.010983159	0.013780059	0.006944091	0.000369674	0.012502276	0.003619377	0.004661384	0.01010439
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__	0	4.35E-05	1.93E-05	0	0	0.000249643	0.000144358	0.000389119	0	0	3.85E-05	0.000109188	4.33E-05	0	0.000105092	7.55E-05	0.000177506	9.01E-05	0.000101745	0	0.000121381	7.13E-05	6.66E-05	0.000133833
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	2.61E-05	4.35E-05	0	0	0	0	0	0.000106123	0	5.62E-05	0	0	0.000432882	0	0.000105092	0	0.00419357	9.01E-05	7.63E-05	0	6.07E-05	3.57E-05	3.33E-05	0.000133833
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	6.12E-05	0.00018391	0	0	0	0	0	0	5.35E-05	0	0
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000893279	0	0	0	0	0	0	1.78E-05	6.66E-05	0
k__Bacteria;p__Acidobacteria;c__S035;o__;f__	5.22E-05	0	0	0	6.24E-05	0.000178317	0	0	0	0.000365004	1.92E-05	0	8.66E-05	0	0.00044664	0	0	9.01E-05	0	0	4.05E-05	7.13E-05	0.000366252	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99;f__	0	0.000152247	0	0	0	0	0	0	0	0	0	0	0.000562746	3.06E-05	0.000499186	0	0.000687834	0.00063046	0.000305235	0	0.000121381	0.000427907	0	0.00113758
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;Other	0.001149455	0.000674236	0.00023133	0.00075124	0.00024948	0.00074893	0.000606306	0.000778238	0.00145296	0.001347709	0.000692987	0.00120107	0.000865763	0.001897533	0.000289002	0.001183432	0.000687834	0.00063046	0.000457852	0.00154031	0.000505755	0.000731007	0.000665912	0.000535332
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__	0.013088116	0.013223716	0.006226626	0.021059749	0.015634096	0.013409415	0.013396466	0.036471046	0.007628042	0.014937107	0.017132187	0.014931484	0.017618285	0.013986656	0.016473123	0.016114818	0.016618962	0.015401243	0.017042275	0.02519947	0.019684004	0.01954107	0.012286076	0.020543362
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65	0	0	1.93E-05	2.50E-05	0	0	2.89E-05	7.07E-05	0	0	1.92E-05	2.73E-05	0	0	0	5.04E-05	2.22E-05	0	2.54E-05	0	0.000101151	5.35E-05	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	0.015517647	0.023902736	0.003913328	0.030224871	0.016985447	0.022467903	0.011519806	0.024691358	0.002905921	0.008142408	0.023234326	0.017688486	0.010951907	0.014231499	0.006620777	0.013395443	0.010583772	0.017022426	0.015083685	0.042081267	0.013048492	0.027849591	0.007191849	0.011175054
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae]	2.61E-05	2.17E-05	0.000212052	2.50E-05	0	0	0	0	0.00036324	0.000336927	0	8.19E-05	4.33E-05	0	0.00018391	2.52E-05	0.000133129	0	0	0	4.05E-05	5.35E-05	0.000266365	0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__	0.000365736	0.002044456	0.001156649	0	0.00033264	0.000142653	0.002944913	0	0.002179441	0.001375786	0.00165547	0.000545941	0.002034544	0.000153027	0.003310388	0.002266146	0.00086534	0.000810592	0.000712214	0	0.004066274	0.001212402	0.003163082	0.001539079
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__	5.22E-05	0.001239723	3.86E-05	0.000175289	8.32E-05	0.00010699	0.00034646	0	0	0	1.92E-05	0.000409456	4.33E-05	0	0.000262729	7.55E-05	0.002152255	0.000720526	0.001246375	0	0.000667597	7.13E-05	0.000233069	0.001003747
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];Other;Other	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__;f__	5.22E-05	0.000130497	1.93E-05	0	4.16E-05	7.13E-05	2.89E-05	0	0.00072648	5.62E-05	1.92E-05	0	0.00047617	0.002356614	0.00044664	0	0.000377199	0.000270197	0.00155161	0	0.000525986	0.000570542	0.000499434	0.000200749
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__	5.22E-05	0.000152247	0.000192775	0	4.16E-05	0	0.000115487	0	0.00036324	2.81E-05	1.92E-05	0.000218376	0.001341933	0	0.003625663	2.52E-05	0.001508798	0.000540394	0.001068322	0	0.000971051	0.003690695	0.001864554	0.00113758
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__	0.002194415	0	0.000520492	0	0	3.57E-05	2.89E-05	0	0.00036324	0.000365004	0	0	4.33E-05	0	0.000709369	0.000151076	6.66E-05	0	0	0	0.000101151	7.13E-05	0.000665912	6.69E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246;f__	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	2.52E-05	0	9.01E-05	0	0	0.000182072	0.000106977	0	0.000133833
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__	0.003683482	0	0.004144658	0	0	0.00117689	0	0	0	0.000252695	0	2.73E-05	0.000735899	0.000612107	0.001839105	0	0.000110941	0	0.000228926	0	0.000121381	0.000873643	0.001764667	0.000133833
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05E-05	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	0.036024975	0.002174953	0.038497128	0.006310412	0.002016632	0.019579173	0.016745583	0.002900704	0.038140211	0.025157233	0.008931837	0.008953431	0.014501537	0.01475179	0.0439546	0.020924084	0.012913533	0.010267495	0.015617846	0.002094821	0.02666343	0.018738745	0.03895585	0.011844218
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075	0.018025549	0.004088912	0.057736053	0.005784544	0.002515593	0.023466476	0.01567733	0.009444975	0.041409372	0.02035602	0.016054207	0.010918819	0.006882819	0.021454367	0.017865588	0.045474002	0.006190508	0.013329731	0.00134812	0.053664397	0.006595052	0.005241856	0.031131384	0.014520878
