Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
Unclassified;Other	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	3.08E-05	0	3.57E-05	0	0
k__Archaea;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota	0.013793464	0.001283222	0.017581062	0.009565784	0.000914761	0.005135521	0.00886361	0.002051717	0.001816201	0.012662848	0.021463358	0.005404815	0.007358989	0.005661994	0.003757028	0.007427924	0.004260134	0.005944339	0.005188991	0.020886602	0.007930246	0.002710075	0.010521409	0.006557816
k__Archaea;p__Euryarchaeota	2.61E-05	0	0	0	4.16E-05	0	0.00017323	0	0.00108972	0	0	0	0.000129865	0	0.000788188	0	0.000221882	9.01E-05	5.09E-05	0	8.09E-05	0.000552713	0.00029966	0.000468415
k__Archaea;p__[Parvarchaeota]	0	0	3.86E-05	0	0	0	0.00017323	0.001096608	0.00072648	0	0	0	0	0	0.000761915	0	8.88E-05	0	0	0	8.09E-05	1.78E-05	6.66E-05	0.002275161
k__Bacteria;Other	0.013453852	0.018073861	0.006284458	0.03818801	0.011060291	0.016726106	0.015994919	0.018005589	0.003632401	0.010304358	0.020654873	0.011492057	0.012510281	0.022739793	0.003993484	0.010248017	0.015110164	0.015941637	0.023146971	0.020670959	0.007687484	0.008415497	0.006226277	0.015323876
k__Bacteria;p__	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3	0.015151911	0.008460568	0.001118094	0.019982972	0.001725572	0.009094151	0.017842707	0.011072199	0.00145296	0.008030099	0.012165778	0.018179833	0.025020562	0.017720512	0.007776785	0.008560997	0.030597528	0.00846618	0.019484153	0.002649333	0.018186968	0.007987591	0.00749151	0.010706638
k__Bacteria;p__Acidobacteria	0.133232321	0.115272522	0.15414273	0.109155106	0.087484407	0.136661912	0.148054048	0.146520924	0.163821286	0.112393306	0.12165778	0.174373533	0.148651574	0.122176654	0.16546687	0.162054639	0.184605827	0.186346033	0.174492547	0.150642309	0.176994194	0.170538627	0.162815476	0.171640792
k__Bacteria;p__Actinobacteria	0.057054782	0.0488277	0.092570459	0.073371062	0.081704782	0.041226819	0.050063518	0.089037462	0.083181983	0.079346361	0.095497507	0.044412295	0.071858361	0.047621962	0.027245021	0.054211255	0.037431494	0.052688463	0.039197233	0.062783032	0.072626489	0.033661989	0.068089499	0.04115364
k__Bacteria;p__Armatimonadetes	0.016797722	0.024598721	0.008578479	0.022737517	0.026839917	0.025891583	0.01362744	0.029290035	0.008717762	0.014937107	0.012820266	0.013484741	0.016839098	0.025616698	0.013267826	0.020219061	0.014311389	0.016932361	0.020679656	0.023720773	0.008739455	0.014495338	0.012119598	0.015725375
k__Bacteria;p__BHI80-139	0.000104496	2.17E-05	5.78E-05	0	0	0.00010699	5.77E-05	0	0.00072648	8.42E-05	0	0	0.000303017	3.06E-05	5.25E-05	0.000226615	0	0	0.000127181	0	6.07E-05	0.000178294	0.000233069	0.000267666
